,reaction,lb,ub
688,EX_pan4p[e],0.0,1000
689,EX_ptth[e],0.0,1000
690,EX_q10[e],0.0,1000
691,EX_q10h2[e],0.0,1000
692,EX_34hpp[e],0.0,1000
693,EX_3mob[e],0.0,1000
694,EX_3mop[e],0.0,1000
695,EX_4mop[e],0.0,1000
696,EX_5mta[e],0.0,1000
697,EX_5oxpro[e],0.0,1000
698,EX_ahcys[e],0.0,1000
699,EX_aicar[e],0.0,1000
700,EX_anth[e],0.0,1000
701,EX_cbasp[e],0.0,1000
702,EX_2pg[e],0.0,1000
703,EX_5hoxindoa[e],0.0,1000
704,EX_cala[e],0.0,1000
705,EX_cholp[e],0.0,1000
706,EX_cyst_L[e],0.0,1000
707,EX_dcmp[e],0.0,1000
708,EX_dmgly[e],0.0,1000
709,EX_ethamp[e],0.0,1000
710,EX_g3pc[e],0.0,1000
711,EX_glyald[e],0.0,1000
712,EX_gudac[e],0.0,1000
713,EX_hcys_L[e],0.0,1000
714,EX_icit[e],0.0,1000
715,EX_kynate[e],0.0,1000
716,EX_L2aadp[e],0.0,1000
717,EX_Lkynr[e],0.0,1000
718,EX_pep[e],0.0,1000
719,EX_quln[e],0.0,1000
720,EX_xmp[e],0.0,1000
721,EX_xtsn[e],0.0,1000
722,EX_3pg[e],0.0,1000
723,EX_3hanthrn[e],0.0,1000
724,EX_udpglcur[e],0.0,1000
725,EX_hLkynr[e],0.0,1000
726,EX_nicrnt[e],0.0,1000
727,EX_orot5p[e],0.0,1000
728,EX_glyc3p[e],0.0,1000
729,EX_argsuc[e],0.0,1000
730,EX_acrn[e],0.0,1000
731,EX_pcrn[e],0.0,1000
732,EX_lneldccrn[e],0.0,1000
733,EX_odecrn[e],0.0,1000
734,EX_stcrn[e],0.0,1000
735,EX_pmtcrn[e],0.0,1000
736,EX_hdcecrn[e],0.0,1000
737,EX_3mtp[e],0.0,1000
738,EX_C14769[e],0.0,1000
739,EX_12HPET[e],0.0,1000
740,EX_15HPET[e],0.0,1000
741,EX_15kprostgf2[e],0.0,1000
742,EX_21hprgnlone[e],0.0,1000
743,EX_2oxoadp[e],0.0,1000
744,EX_34hpl[e],0.0,1000
745,EX_3hmp[e],0.0,1000
746,EX_3hpp[e],0.0,1000
747,EX_3hpppnohgluc[e],0.0,1000
748,EX_3mhis[e],0.0,1000
749,EX_3uib[e],0.0,1000
750,EX_4aabutn[e],0.0,1000
751,EX_4tmeabutn[e],0.0,1000
752,EX_56dthm[e],0.0,1000
753,EX_56dura[e],0.0,1000
754,EX_5HPET[e],0.0,1000
755,EX_7dhchsterol[e],0.0,1000
756,EX_acgly[e],0.0,1000
757,EX_aclys[e],0.0,1000
758,EX_acorn[e],0.0,1000
759,EX_acthr_L[e],0.0,1000
760,EX_adpac[e],0.0,1000
761,EX_adpoh[e],0.0,1000
762,EX_amet[e],0.0,1000
763,EX_and19one[e],0.0,1000
764,EX_aracheth[e],0.0,1000
765,EX_biliverd[e],0.0,1000
766,EX_C02356[e],0.0,1000
767,EX_C02712[e],0.0,1000
768,EX_C04717[e],0.0,1000
769,EX_C04805[e],0.0,1000
770,EX_C05957[e],0.0,1000
771,EX_C06314[e],0.0,1000
772,EX_C06315[e],0.0,1000
773,EX_C11695[e],0.0,1000
774,EX_C14768[e],0.0,1000
775,EX_C14770[e],0.0,1000
776,EX_C14771[e],0.0,1000
777,EX_C14825[e],0.0,1000
778,EX_C14826[e],0.0,1000
779,EX_CE0955[e],0.0,1000
780,EX_CE1273[e],0.0,1000
781,EX_CE1297[e],0.0,1000
782,EX_CE1554[e],0.0,1000
783,EX_CE1557[e],0.0,1000
784,EX_CE2028[e],0.0,1000
785,EX_CE2176[e],0.0,1000
786,EX_CE2445[e],0.0,1000
787,EX_CE2537[e],0.0,1000
788,EX_CE4843[e],0.0,1000
789,EX_CE5304[e],0.0,1000
790,EX_CE6031[e],0.0,1000
791,EX_CE6247[e],0.0,1000
792,EX_CE7082[e],0.0,1000
793,EX_CE7083[e],0.0,1000
794,EX_CE7172[e],0.0,1000
795,EX_cortsn[e],0.0,1000
796,EX_didecaeth[e],0.0,1000
797,EX_diholineth[e],0.0,1000
